category,rank,product_title,price_range,review_count,avg_rating
家居,1,可折叠收纳箱 大容量塑料储物盒,CNY 29-89,15420,4.5
家居,2,多功能衣架 防滑无痕挂衣架 10个装,CNY 15-35,23800,4.6
家居,3,LED台灯 护眼学习阅读灯 三档调光,CNY 45-129,31200,4.4
家居,4,浴室置物架 免打孔三角架 不锈钢,CNY 19-59,18700,4.3
家居,5,厨房收纳架 多层置物架 可调节,CNY 69-199,9600,4.5
电子,1,无线蓝牙耳机 降噪 长续航,CNY 129-299,52000,4.4
电子,2,智能手表 心率监测 运动手环,CNY 89-249,43500,4.2
电子,3,便携充电宝 20000mAh 快充,CNY 79-159,38700,4.6
电子,4,USB-C 扩展坞 7合1 4K输出,CNY 129-259,18300,4.3
电子,5,无线鼠标 静音 人体工学设计,CNY 35-99,41200,4.5
运动户外,1,瑜伽垫 加厚防滑 环保TPE,CNY 49-129,28900,4.6
运动户外,2,跑步鞋 男款轻便透气 减震,CNY 159-399,45600,4.3
运动户外,3,保温杯 不锈钢 大容量1L,CNY 39-129,52300,4.5
运动户外,4,健身手套 防滑透气 男女通用,CNY 25-69,12200,4.4
运动户外,5,登山杖 铝合金 可调节,CNY 49-159,8700,4.2
